gender,muscle_group,exercise_name,relative_path,size_bytes
girl,Abs,"45 Degree Bycicle Twisting Crunch","girl/Abs/45 Degree Bycicle Twisting Crunch.mp4",635036
girl,Abs,"45 Degree Side Bend","girl/Abs/45 Degree Side Bend.mp4",507204
girl,Abs,"Air Twisting Crunch","girl/Abs/Air Twisting Crunch.mp4",1494872
girl,Abs,"Band Decline Sit-ups","girl/Abs/Band Decline Sit-ups.mp4",821631
girl,Abs,"Band Side Bend","girl/Abs/Band Side Bend.mp4",377311
girl,Abs,"Band Standing Crunch","girl/Abs/Band Standing Crunch.mp4",576636
girl,Abs,"Band Standing Lift","girl/Abs/Band Standing Lift.mp4",741931
girl,Abs,"Band Twist (Up-down)","girl/Abs/Band Twist (Up-down).mp4",703460
girl,Abs,"Band Twist","girl/Abs/Band Twist.mp4",1170474
girl,Abs,"Bench Leg Raise","girl/Abs/Bench Leg Raise.mp4",559226
girl,Abs,"Bent Knee Lying Twist","girl/Abs/Bent Knee Lying Twist.mp4",908834
girl,Abs,"Cable Kneeling Crunch","girl/Abs/Cable Kneeling Crunch.mp4",695381
girl,Abs,"Cable Standing Crunch","girl/Abs/Cable Standing Crunch.mp4",645030
girl,Abs,"Cable Standing Lift","girl/Abs/Cable Standing Lift.mp4",688702
girl,Abs,"Cable Twist (up-down)","girl/Abs/Cable Twist (up-down).mp4",725153
girl,Abs,"Crunch (on bench)","girl/Abs/Crunch (on bench).mp4",685048
girl,Abs,"Dumbbell Side Bend","girl/Abs/Dumbbell Side Bend.mp4",474412
girl,Abs,"Hanging Leg Hip Raise","girl/Abs/Hanging Leg Hip Raise.mp4",653478
girl,Abs,"Hanging Straight Leg Hip Raise","girl/Abs/Hanging Straight Leg Hip Raise.mp4",653478
girl,Abs,"Hanging Straight Leg Raise","girl/Abs/Hanging Straight Leg Raise.mp4",483199
girl,Abs,"Incline Leg Hip Raise","girl/Abs/Incline Leg Hip Raise.mp4",758571
girl,Abs,"Landmine 180","girl/Abs/Landmine 180.mp4",646521
girl,Abs,"Lever Seated Crunch","girl/Abs/Lever Seated Crunch.mp4",649587
girl,Abs,"Lever Seated Leg Raise Crunch","girl/Abs/Lever Seated Leg Raise Crunch.mp4",778462
girl,Abs,"Lying Floor Leg Raise","girl/Abs/Lying Floor Leg Raise.mp4",473322
girl,Abs,"Lying Straight Leg Raise","girl/Abs/Lying Straight Leg Raise.mp4",688183
girl,Abs,"Otis-ups","girl/Abs/Otis-ups.mp4",822371
girl,Abs,"Side Bridge - Side Plank","girl/Abs/Side Bridge - Side Plank.mp4",540103
girl,Abs,"Sit-up On Exercise Ball","girl/Abs/Sit-up On Exercise Ball.mp4",1163911
girl,Abs,"Sit-ups","girl/Abs/Sit-ups.mp4",750084
girl,Abs,"Spell Caster","girl/Abs/Spell Caster.mp4",758379
girl,Abs,"Stretching - Chin-to-chest Stretch","girl/Abs/Stretching - Chin-to-chest Stretch.mp4",413002
girl,Abs,"Stretching - Iron Cross Stretch","girl/Abs/Stretching - Iron Cross Stretch.mp4",763756
girl,Abs,"Stretching - Seated Twist (straight arm)","girl/Abs/Stretching - Seated Twist (straight arm).mp4",1432976
girl,Abs,"Stretching - Spinal Stretch On Exercise Ball","girl/Abs/Stretching - Spinal Stretch On Exercise Ball.mp4",1432559
girl,Abs,"Stretching - Standing Side Bend (bent arm)","girl/Abs/Stretching - Standing Side Bend (bent arm).mp4",716607
girl,Abs,"Twisting Crunch","girl/Abs/Twisting Crunch.mp4",554843
girl,Abs,"V-up","girl/Abs/V-up.mp4",1067050
girl,Abs,"Vertical Leg Raise (on parallel bars)","girl/Abs/Vertical Leg Raise (on parallel bars).mp4",331209
girl,Abs,"Weighted Leg Extension Crunch","girl/Abs/Weighted Leg Extension Crunch.mp4",723846
girl,Back,"45 Degree Hyperextension","girl/Back/45 Degree Hyperextension.mp4",364623
girl,Back,"Band Assisted Pull-up","girl/Back/Band Assisted Pull-up.mp4",610469
girl,Back,"Band Bent-over Row","girl/Back/Band Bent-over Row.mp4",671675
girl,Back,"Band Kneeling One Arm Pulldown","girl/Back/Band Kneeling One Arm Pulldown.mp4",242365
girl,Back,"Band One Arm Twisting Seated Row","girl/Back/Band One Arm Twisting Seated Row.mp4",473030
girl,Back,"Band One Leg Kickback Bent Position","girl/Back/Band One Leg Kickback Bent Position.mp4",613620
girl,Back,"Band Pull Through","girl/Back/Band Pull Through.mp4",645610
girl,Back,"Band Seated Row","girl/Back/Band Seated Row.mp4",683104
girl,Back,"Band Straight Back Seated Row","girl/Back/Band Straight Back Seated Row.mp4",767837
girl,Back,"Barbell Bent-over Row Overgrip","girl/Back/Barbell Bent-over Row Overgrip.mp4",452932
girl,Back,"Barbell Straight Leg Deadlift","girl/Back/Barbell Straight Leg Deadlift.mp4",794821
girl,Back,"Barbell Underhand Bent-over Row","girl/Back/Barbell Underhand Bent-over Row.mp4",507136
girl,Back,"Bench Pull-ups","girl/Back/Bench Pull-ups.mp4",732910
girl,Back,"Cable Bar Lateral Pulldown (reverse-grip)","girl/Back/Cable Bar Lateral Pulldown (reverse-grip).mp4",492202
girl,Back,"Cable Bar Lateral Pulldown (wide shoulder grip)","girl/Back/Cable Bar Lateral Pulldown (wide shoulder grip).mp4",413994
girl,Back,"Cable Close Grip Front Lat Pulldown","girl/Back/Cable Close Grip Front Lat Pulldown.mp4",345581
girl,Back,"Cable One Arm Lateral Pulldown","girl/Back/Cable One Arm Lateral Pulldown.mp4",522875
girl,Back,"Cable One Arm Twisting Seated Row","girl/Back/Cable One Arm Twisting Seated Row.mp4",421440
girl,Back,"Cable Pulldown","girl/Back/Cable Pulldown.mp4",645228
girl,Back,"Cable Seated High Row (V-bar)","girl/Back/Cable Seated High Row (V-bar).mp4",614338
girl,Back,"Cable Seated Row (normal grip)","girl/Back/Cable Seated Row (normal grip).mp4",253674
girl,Back,"Cable Seated Row (parallel grip)","girl/Back/Cable Seated Row (parallel grip).mp4",299458
girl,Back,"Cable Seated Row (wide-grip)","girl/Back/Cable Seated Row (wide-grip).mp4",327103
